sales_agent,manager,regional_office,status,account,opportunity_id,sales_agent_2,deal_stage,product,created_date,close_date,close_value
Anna Snelling,Dustin Brinkmann,Central,Current,Nam-zim,10ALJD82,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Labdrill,GI94RTL5,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,J-Texon,JHNDPI2N,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Green-Plus,E6DGJSDW,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Ganjaflex,UMD1BA4S,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Finhigh,I93XL6Q9,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Dontechi,ZQRBJVZF,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Conecom,5C59O9GU,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,6KHIXTAD,Anna Snelling,In Progress,GTX Plus Pro,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,GNN53C6D,Anna Snelling,In Progress,GTX Plus Pro,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,0D8Y5JA0,Anna Snelling,In Progress,GTX Plus Pro,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Sumace,9P9ISECL,Anna Snelling,In Progress,GTX Plus Pro,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Hatfan,9PDR4X2R,Anna Snelling,In Progress,GTX Plus Pro,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,OM60BJ4S,Anna Snelling,In Progress,GTX Plus Basic,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,OJDZN6UK,Anna Snelling,In Progress,GTX Plus Basic,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Zumgoity,YL29KX3L,Anna Snelling,In Progress,GTX Plus Basic,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Plusstrip,Q9UWOC28,Anna Snelling,In Progress,GTX Plus Basic,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,GR9S7VHI,Anna Snelling,In Progress,GTX Basic,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,XRJ54GNR,Anna Snelling,In Progress,GTX Basic,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,G99CS23F,Anna Snelling,In Progress,GTX Basic,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,8E0VRCLW,Anna Snelling,In Progress,GTX Basic,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,YIU1B39V,Anna Snelling,In Progress,GTX Basic,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,3LCLVRVV,Anna Snelling,In Progress,GTX Basic,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Green-Plus,6CWZFOHJ,Anna Snelling,In Progress,GTX Basic,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Rundofase,6SNUFVQP,Anna Snelling,Won,MG Special,2017-12-18,2017-12-31,54
Anna Snelling,Dustin Brinkmann,Central,Current,Domzoom,PLQ50D2O,Anna Snelling,Won,MG Advanced,2017-12-17,2017-12-26,3240
Anna Snelling,Dustin Brinkmann,Central,Current,Codehow,04AOWMXV,Anna Snelling,Won,GTX Basic,2017-12-11,2017-12-28,537
Anna Snelling,Dustin Brinkmann,Central,Current,Ron-tech,JRSU8ALH,Anna Snelling,Lost,GTX Basic,2017-12-10,2017-12-19,0
Anna Snelling,Dustin Brinkmann,Central,Current,Cancity,2KWQ6RAZ,Anna Snelling,Won,MG Special,2017-12-08,2017-12-18,60
Anna Snelling,Dustin Brinkmann,Central,Current,Statholdings,7EYDG0CV,Anna Snelling,Won,MG Special,2017-12-06,2017-12-14,56
Anna Snelling,Dustin Brinkmann,Central,Current,Hottechi,JCJ5PJDH,Anna Snelling,Won,MG Special,2017-12-04,2017-12-13,57
Anna Snelling,Dustin Brinkmann,Central,Current,Condax,X70BM5FO,Anna Snelling,Won,GTX Plus Basic,2017-12-01,2017-12-22,1243
Anna Snelling,Dustin Brinkmann,Central,Current,dambase,EBMBP7JQ,Anna Snelling,Won,MG Advanced,2017-11-26,2017-12-07,3844
Anna Snelling,Dustin Brinkmann,Central,Current,Genco Pura Olive Oil Company,NBUHFAKW,Anna Snelling,Won,MG Advanced,2017-11-25,2017-12-28,2477
Anna Snelling,Dustin Brinkmann,Central,Current,Rundofase,6MTK51P5,Anna Snelling,Won,MG Special,2017-11-20,2017-11-29,52
Anna Snelling,Dustin Brinkmann,Central,Current,Hottechi,FX1RWO67,Anna Snelling,Won,MG Advanced,2017-11-16,2017-12-31,3300
Anna Snelling,Dustin Brinkmann,Central,Current,Treequote,V8ELYA6F,Anna Snelling,Won,GTX Plus Pro,2017-11-14,2017-11-15,5276
Anna Snelling,Dustin Brinkmann,Central,Current,Inity,83Y5850C,Anna Snelling,Lost,MG Special,2017-11-12,2017-11-25,0
Anna Snelling,Dustin Brinkmann,Central,Current,Betatech,XZUEXEUH,Anna Snelling,Won,GTX Basic,2017-11-05,2017-11-09,480
Anna Snelling,Dustin Brinkmann,Central,Current,Isdom,J5I6Y4RN,Anna Snelling,Lost,MG Special,2017-10-31,2017-11-10,0
Anna Snelling,Dustin Brinkmann,Central,Current,dambase,FRNGLIYS,Anna Snelling,Won,MG Special,2017-10-28,2017-10-29,66
Anna Snelling,Dustin Brinkmann,Central,Current,Rundofase,IE1N4OUS,Anna Snelling,Won,GTX Plus Pro,2017-10-27,2017-12-07,5269
Anna Snelling,Dustin Brinkmann,Central,Current,Finhigh,3PIPAOVU,Anna Snelling,Won,MG Special,2017-10-26,2017-12-28,57
Anna Snelling,Dustin Brinkmann,Central,Current,Domzoom,63S5SNBC,Anna Snelling,Won,GTX Plus Basic,2017-10-26,2017-10-27,1103
Anna Snelling,Dustin Brinkmann,Central,Current,Cancity,8W9YXI59,Anna Snelling,Won,MG Special,2017-10-25,2017-11-26,59
Anna Snelling,Dustin Brinkmann,Central,Current,Codehow,BMQYRJC7,Anna Snelling,Won,GTX Plus Pro,2017-10-21,2017-12-16,5543
Anna Snelling,Dustin Brinkmann,Central,Current,Ron-tech,CO7T7H41,Anna Snelling,Lost,MG Special,2017-10-21,2017-10-27,0
Anna Snelling,Dustin Brinkmann,Central,Current,dambase,KIZOEC3M,Anna Snelling,Lost,GTX Plus Basic,2017-10-21,2017-10-23,0
Anna Snelling,Dustin Brinkmann,Central,Current,Gogozoom,RELG4CYQ,Anna Snelling,Won,MG Special,2017-10-20,2017-10-30,54
Anna Snelling,Dustin Brinkmann,Central,Current,Dontechi,DTFLKV60,Anna Snelling,Lost,MG Advanced,2017-10-20,2017-10-21,0
Anna Snelling,Dustin Brinkmann,Central,Current,Hottechi,PN0IWJ0N,Anna Snelling,Won,GTX Plus Basic,2017-10-19,2017-10-30,1089
Anna Snelling,Dustin Brinkmann,Central,Current,dambase,SQE6KE7V,Anna Snelling,Won,MG Special,2017-10-17,2017-10-23,55
Anna Snelling,Dustin Brinkmann,Central,Current,Stanredtax,R5ILWVDD,Anna Snelling,Won,MG Special,2017-10-16,2017-12-13,57
Anna Snelling,Dustin Brinkmann,Central,Current,Isdom,9GSBUJMH,Anna Snelling,Lost,MG Special,2017-10-15,2017-10-24,0
Anna Snelling,Dustin Brinkmann,Central,Current,Treequote,0V9YEQDU,Anna Snelling,Lost,MG Special,2017-10-13,2017-10-22,0
Anna Snelling,Dustin Brinkmann,Central,Current,Scottech,4VZ0JIVZ,Anna Snelling,Won,MG Advanced,2017-10-11,2017-10-16,3434
Anna Snelling,Dustin Brinkmann,Central,Current,Statholdings,KI4LTBV6,Anna Snelling,Lost,MG Advanced,2017-10-11,2017-10-13,0
Anna Snelling,Dustin Brinkmann,Central,Current,Gogozoom,OHD4TPKZ,Anna Snelling,Won,GTX Plus Basic,2017-10-10,2017-10-11,1166
Anna Snelling,Dustin Brinkmann,Central,Current,Codehow,MQVOQZL7,Anna Snelling,Lost,MG Special,2017-10-10,2017-10-19,0
Anna Snelling,Dustin Brinkmann,Central,Current,Ron-tech,H9M21153,Anna Snelling,Won,MG Advanced,2017-10-09,2017-10-20,3100
Anna Snelling,Dustin Brinkmann,Central,Current,Conecom,IVMMNSJB,Anna Snelling,Lost,GTX Plus Pro,2017-10-09,2017-10-17,0
Anna Snelling,Dustin Brinkmann,Central,Current,Treequote,NRMFYPAD,Anna Snelling,Won,GTX Plus Pro,2017-10-08,2017-12-30,6038
Anna Snelling,Dustin Brinkmann,Central,Current,Streethex,JQK0EF45,Anna Snelling,Won,GTX Plus Pro,2017-10-07,2017-10-13,5349
Anna Snelling,Dustin Brinkmann,Central,Current,Ron-tech,7QPQ40X9,Anna Snelling,Lost,MG Advanced,2017-10-06,2017-10-08,0
Anna Snelling,Dustin Brinkmann,Central,Current,Funholding,52IHI8JD,Anna Snelling,Lost,MG Special,2017-10-06,2017-11-24,0
Anna Snelling,Dustin Brinkmann,Central,Current,Hottechi,JAG873Y3,Anna Snelling,Lost,MG Special,2017-10-05,2017-10-12,0
Anna Snelling,Dustin Brinkmann,Central,Current,Gogozoom,L6WEVHEN,Anna Snelling,Won,MG Special,2017-10-04,2017-12-16,59
Anna Snelling,Dustin Brinkmann,Central,Current,Cancity,NMF60XWK,Anna Snelling,Lost,MG Special,2017-10-04,2017-10-13,0
Anna Snelling,Dustin Brinkmann,Central,Current,Rundofase,L67B6CU2,Anna Snelling,Lost,GTX Plus Pro,2017-10-03,2017-10-09,0
Anna Snelling,Dustin Brinkmann,Central,Current,Warephase,6HDTZCCM,Anna Snelling,Lost,GTX Plus Pro,2017-10-02,2017-10-14,0
Anna Snelling,Dustin Brinkmann,Central,Current,Finhigh,5B3BKUMD,Anna Snelling,Lost,GTX Basic,2017-10-01,2017-10-11,0
Anna Snelling,Dustin Brinkmann,Central,Current,Toughzap,FSBZ3KOY,Anna Snelling,Lost,GTX Plus Pro,2017-09-30,2017-10-01,0
Anna Snelling,Dustin Brinkmann,Central,Current,Rangreen,H29XGJ5H,Anna Snelling,Lost,GTX Basic,2017-09-30,2017-12-04,0
Anna Snelling,Dustin Brinkmann,Central,Current,Hottechi,AS3IYIRO,Anna Snelling,Won,GTX Basic,2017-09-27,2017-12-26,543
Anna Snelling,Dustin Brinkmann,Central,Current,Globex Corporation,Q06QD8ZW,Anna Snelling,Won,MG Special,2017-09-26,2017-11-03,54
Anna Snelling,Dustin Brinkmann,Central,Current,Cancity,8KIMVD15,Anna Snelling,Lost,MG Special,2017-09-26,2017-10-06,0
Anna Snelling,Dustin Brinkmann,Central,Current,Codehow,4YXXI2OI,Anna Snelling,Won,MG Special,2017-09-25,2017-12-18,53
Anna Snelling,Dustin Brinkmann,Central,Current,Inity,TFGYLK6C,Anna Snelling,Lost,GTX Basic,2017-09-25,2017-10-04,0
Anna Snelling,Dustin Brinkmann,Central,Current,Codehow,5BRWXIU3,Anna Snelling,Lost,MG Special,2017-09-24,2017-11-27,0
Anna Snelling,Dustin Brinkmann,Central,Current,Treequote,DDXFIBEY,Anna Snelling,Lost,GTX Plus Pro,2017-09-24,2017-11-23,0
Anna Snelling,Dustin Brinkmann,Central,Current,Toughzap,ABMOVF1A,Anna Snelling,Won,MG Special,2017-09-21,2017-09-30,66
Anna Snelling,Dustin Brinkmann,Central,Current,Funholding,75HKH8PS,Anna Snelling,Lost,GTX Plus Basic,2017-09-19,2017-09-30,0
Anna Snelling,Dustin Brinkmann,Central,Current,Streethex,55YURJ2E,Anna Snelling,Won,MG Special,2017-09-16,2017-12-30,58
Anna Snelling,Dustin Brinkmann,Central,Current,Statholdings,QDYFLOZW,Anna Snelling,Won,MG Special,2017-09-16,2017-09-23,55
Anna Snelling,Dustin Brinkmann,Central,Current,Ron-tech,ZIEI8JM3,Anna Snelling,Won,MG Special,2017-09-16,2017-12-07,65
Anna Snelling,Dustin Brinkmann,Central,Current,Stanredtax,0U0GUDIX,Anna Snelling,Won,GTX Plus Pro,2017-09-14,2017-09-18,5421
Anna Snelling,Dustin Brinkmann,Central,Current,Cancity,07DPEL0B,Anna Snelling,Won,GTX Basic,2017-09-13,2017-11-25,629
Anna Snelling,Dustin Brinkmann,Central,Current,dambase,Y25T06D2,Anna Snelling,Won,GTX Plus Basic,2017-09-12,2017-12-26,866
Anna Snelling,Dustin Brinkmann,Central,Current,Statholdings,MX0QEMEB,Anna Snelling,Lost,MG Advanced,2017-09-12,2017-11-27,0
Anna Snelling,Dustin Brinkmann,Central,Current,Treequote,4Z7LYTKN,Anna Snelling,Lost,GTX Plus Pro,2017-09-12,2017-12-06,0
Anna Snelling,Dustin Brinkmann,Central,Current,Cancity,VYJ20GOM,Anna Snelling,Won,MG Special,2017-09-11,2017-11-17,44
Anna Snelling,Dustin Brinkmann,Central,Current,Toughzap,R3NAMX4P,Anna Snelling,Lost,GTX Plus Pro,2017-09-11,2017-11-14,0
Anna Snelling,Dustin Brinkmann,Central,Current,Finhigh,LW0Z6TMR,Anna Snelling,Lost,GTX Basic,2017-09-11,2017-09-13,0
Anna Snelling,Dustin Brinkmann,Central,Current,Funholding,3Y6REURA,Anna Snelling,Won,GTX Plus Pro,2017-09-08,2017-09-24,5600
Anna Snelling,Dustin Brinkmann,Central,Current,Treequote,BALJ5E9J,Anna Snelling,Lost,MG Special,2017-09-08,2017-12-17,0
Anna Snelling,Dustin Brinkmann,Central,Current,Ron-tech,D9CS7EIY,Anna Snelling,Won,GTX Plus Basic,2017-09-07,2017-12-12,1249
Anna Snelling,Dustin Brinkmann,Central,Current,Statholdings,RKI7OEP9,Anna Snelling,Lost,MG Special,2017-09-07,2017-11-18,0
Anna Snelling,Dustin Brinkmann,Central,Current,Scottech,92IDH7MB,Anna Snelling,Won,MG Special,2017-09-04,2017-11-21,58
Anna Snelling,Dustin Brinkmann,Central,Current,Stanredtax,YFTW9Z69,Anna Snelling,Lost,MG Advanced,2017-09-04,2017-11-12,0
Anna Snelling,Dustin Brinkmann,Central,Current,Inity,A30VAQHM,Anna Snelling,Won,MG Special,2017-09-03,2017-11-21,58
Anna Snelling,Dustin Brinkmann,Central,Current,Bioholding,YB6UP71G,Anna Snelling,Won,MG Special,2017-09-03,2017-09-06,64
Anna Snelling,Dustin Brinkmann,Central,Current,Gogozoom,I819UEG6,Anna Snelling,Lost,MG Special,2017-09-02,2017-11-04,0
Anna Snelling,Dustin Brinkmann,Central,Current,Treequote,AAFPTXEB,Anna Snelling,Won,MG Special,2017-09-01,2017-11-08,58
Anna Snelling,Dustin Brinkmann,Central,Current,Streethex,CAF97SA2,Anna Snelling,Won,GTX Plus Basic,2017-09-01,2017-11-13,1060
Anna Snelling,Dustin Brinkmann,Central,Current,Stanredtax,05HLE3JL,Anna Snelling,Won,GTX Basic,2017-09-01,2017-12-03,514
Anna Snelling,Dustin Brinkmann,Central,Current,Zumgoity,KAPPUUYY,Anna Snelling,Won,GTX Basic,2017-08-31,2017-11-24,594
Anna Snelling,Dustin Brinkmann,Central,Current,Statholdings,PE3P7M7S,Anna Snelling,Won,MG Special,2017-08-30,2017-09-08,55
Anna Snelling,Dustin Brinkmann,Central,Current,Warephase,O3Q5B86F,Anna Snelling,Won,GTX Plus Basic,2017-08-30,2017-12-26,1118
Anna Snelling,Dustin Brinkmann,Central,Current,Funholding,WIHGFD8B,Anna Snelling,Lost,MG Special,2017-08-30,2017-11-19,0
Anna Snelling,Dustin Brinkmann,Central,Current,Gogozoom,233HYDSP,Anna Snelling,Won,MG Special,2017-08-29,2017-12-03,44
Anna Snelling,Dustin Brinkmann,Central,Current,Streethex,DZHIAZ5H,Anna Snelling,Lost,GTX Plus Basic,2017-08-29,2017-09-05,0
Anna Snelling,Dustin Brinkmann,Central,Current,Dontechi,6GDZDVTV,Anna Snelling,Won,MG Special,2017-08-27,2017-09-13,59
Anna Snelling,Dustin Brinkmann,Central,Current,Condax,P3HO0L6P,Anna Snelling,Won,MG Special,2017-08-27,2017-11-14,53
Anna Snelling,Dustin Brinkmann,Central,Current,Cancity,JESVHYTG,Anna Snelling,Won,GTX Basic,2017-08-27,2017-09-05,597
Anna Snelling,Dustin Brinkmann,Central,Current,Bioholding,64CTQ6C5,Anna Snelling,Won,GTX Plus Pro,2017-08-26,2017-11-02,6659
Anna Snelling,Dustin Brinkmann,Central,Current,Stanredtax,ZNU9YDS9,Anna Snelling,Won,MG Special,2017-08-25,2017-11-03,67
Anna Snelling,Dustin Brinkmann,Central,Current,Condax,X7DYUDEB,Anna Snelling,Won,MG Special,2017-08-23,2017-11-14,58
Anna Snelling,Dustin Brinkmann,Central,Current,Funholding,23K5J6JP,Anna Snelling,Lost,MG Advanced,2017-08-23,2017-11-08,0
Anna Snelling,Dustin Brinkmann,Central,Current,Domzoom,KEE51TPD,Anna Snelling,Won,MG Special,2017-08-21,2017-11-03,54
Anna Snelling,Dustin Brinkmann,Central,Current,Hottechi,X2GXIKND,Anna Snelling,Won,GTX Plus Pro,2017-08-17,2017-11-22,5468
Anna Snelling,Dustin Brinkmann,Central,Current,Treequote,U83R2K8I,Anna Snelling,Won,MG Special,2017-08-16,2017-08-29,53
Anna Snelling,Dustin Brinkmann,Central,Current,Globex Corporation,MTBQF6FE,Anna Snelling,Won,MG Special,2017-08-15,2017-11-05,57
Anna Snelling,Dustin Brinkmann,Central,Current,Inity,B5GG52AB,Anna Snelling,Lost,GTX Plus Pro,2017-08-15,2017-11-15,0
Anna Snelling,Dustin Brinkmann,Central,Current,Betatech,3HTSMIGI,Anna Snelling,Lost,GTX Plus Basic,2017-08-15,2017-09-27,0
Anna Snelling,Dustin Brinkmann,Central,Current,,B08R55ET,Anna Snelling,In Progress,MG Special,2017-08-15,,
Anna Snelling,Dustin Brinkmann,Central,Current,Inity,DCOMI70R,Anna Snelling,Lost,GTX Plus Pro,2017-08-14,2017-08-20,0
Anna Snelling,Dustin Brinkmann,Central,Current,,0GS0L5VR,Anna Snelling,In Progress,MG Special,2017-08-14,,
Anna Snelling,Dustin Brinkmann,Central,Current,,NPORW46K,Anna Snelling,In Progress,MG Special,2017-08-14,,
Anna Snelling,Dustin Brinkmann,Central,Current,Bioholding,NSX4NR40,Anna Snelling,In Progress,GTX Plus Pro,2017-08-14,,
Anna Snelling,Dustin Brinkmann,Central,Current,,SAMPTSH0,Anna Snelling,In Progress,GTX Plus Basic,2017-08-14,,
Anna Snelling,Dustin Brinkmann,Central,Current,Streethex,HQ2QSZUP,Anna Snelling,Won,MG Special,2017-08-13,2017-11-02,50
Anna Snelling,Dustin Brinkmann,Central,Current,Streethex,FBVCN3BA,Anna Snelling,Won,MG Special,2017-08-11,2017-11-07,65
Anna Snelling,Dustin Brinkmann,Central,Current,Dontechi,ZHXBOIJ6,Anna Snelling,Won,MG Special,2017-08-11,2017-08-18,46
Anna Snelling,Dustin Brinkmann,Central,Current,Globex Corporation,DSC7UB3W,Anna Snelling,Lost,MG Special,2017-08-11,2017-08-23,0
Anna Snelling,Dustin Brinkmann,Central,Current,Globex Corporation,L4QYOBFW,Anna Snelling,Lost,MG Special,2017-08-11,2017-11-06,0
Anna Snelling,Dustin Brinkmann,Central,Current,,FCBSZ6FJ,Anna Snelling,In Progress,GTX Plus Pro,2017-08-09,,
Anna Snelling,Dustin Brinkmann,Central,Current,dambase,RRQIGS7E,Anna Snelling,Won,MG Special,2017-08-08,2017-08-18,53
Anna Snelling,Dustin Brinkmann,Central,Current,Kan-code,OSG9KZGB,Anna Snelling,In Progress,GTX Plus Basic,2017-08-07,,
Anna Snelling,Dustin Brinkmann,Central,Current,Betatech,XNOQAL9G,Anna Snelling,Lost,MG Special,2017-08-06,2017-11-29,0
Anna Snelling,Dustin Brinkmann,Central,Current,Cancity,WA58C7SV,Anna Snelling,Lost,MG Advanced,2017-08-05,2017-11-26,0
Anna Snelling,Dustin Brinkmann,Central,Current,,80QJ0BQH,Anna Snelling,In Progress,MG Special,2017-08-05,,
Anna Snelling,Dustin Brinkmann,Central,Current,,DAAHNY6T,Anna Snelling,In Progress,MG Special,2017-08-05,,
Anna Snelling,Dustin Brinkmann,Central,Current,,OVA9HMN1,Anna Snelling,In Progress,GTX Plus Pro,2017-08-05,,
Anna Snelling,Dustin Brinkmann,Central,Current,,4PNXMXXC,Anna Snelling,In Progress,GTX Basic,2017-08-05,,
Anna Snelling,Dustin Brinkmann,Central,Current,Cancity,G44S6CLC,Anna Snelling,Won,MG Special,2017-08-03,2017-08-16,52
Anna Snelling,Dustin Brinkmann,Central,Current,Ganjaflex,AZN2K0V9,Anna Snelling,In Progress,MG Advanced,2017-08-03,,
Anna Snelling,Dustin Brinkmann,Central,Current,,ULJG457F,Anna Snelling,In Progress,MG Special,2017-08-03,,
Anna Snelling,Dustin Brinkmann,Central,Current,Konmatfix,7CYRCTXI,Anna Snelling,Won,MG Advanced,2017-08-01,2017-08-16,3452
Anna Snelling,Dustin Brinkmann,Central,Current,Genco Pura Olive Oil Company,D9VTKEEH,Anna Snelling,Lost,GTX Plus Basic,2017-08-01,2017-08-11,0
Anna Snelling,Dustin Brinkmann,Central,Current,,H85L45JM,Anna Snelling,In Progress,MG Special,2017-08-01,,
Anna Snelling,Dustin Brinkmann,Central,Current,Plusstrip,4ZB2W6O7,Anna Snelling,In Progress,MG Special,2017-08-01,,
Anna Snelling,Dustin Brinkmann,Central,Current,,CFKXEPFN,Anna Snelling,In Progress,GTX Plus Basic,2017-08-01,,
Anna Snelling,Dustin Brinkmann,Central,Current,,I1R23P5F,Anna Snelling,In Progress,GTX Plus Basic,2017-08-01,,
Anna Snelling,Dustin Brinkmann,Central,Current,Rangreen,QD4ONE04,Anna Snelling,In Progress,MG Special,2017-07-31,,
Anna Snelling,Dustin Brinkmann,Central,Current,Finhigh,6YMJLH2F,Anna Snelling,Lost,GTX Plus Pro,2017-07-30,2017-08-07,0
Anna Snelling,Dustin Brinkmann,Central,Current,,5SNCUQ8Z,Anna Snelling,In Progress,MG Special,2017-07-30,,
Anna Snelling,Dustin Brinkmann,Central,Current,,MK380H70,Anna Snelling,In Progress,MG Special,2017-07-30,,
Anna Snelling,Dustin Brinkmann,Central,Current,,VVM42VWQ,Anna Snelling,In Progress,GTX Basic,2017-07-30,,
Anna Snelling,Dustin Brinkmann,Central,Current,,ERD6D5K3,Anna Snelling,In Progress,GTX Basic,2017-07-30,,
Anna Snelling,Dustin Brinkmann,Central,Current,Isdom,WCCEBK6E,Anna Snelling,Won,GTX Plus Pro,2017-07-29,2017-08-05,4603
Anna Snelling,Dustin Brinkmann,Central,Current,,B1ZN2CFP,Anna Snelling,In Progress,MG Advanced,2017-07-29,,
Anna Snelling,Dustin Brinkmann,Central,Current,,T0TDA2O1,Anna Snelling,In Progress,GTX Plus Pro,2017-07-29,,
Anna Snelling,Dustin Brinkmann,Central,Current,Conecom,O6B0YK1X,Anna Snelling,Lost,MG Advanced,2017-07-28,2017-08-03,0
Anna Snelling,Dustin Brinkmann,Central,Current,,10QE4JCA,Anna Snelling,In Progress,MG Special,2017-07-28,,
Anna Snelling,Dustin Brinkmann,Central,Current,Yearin,P7MSQO38,Anna Snelling,In Progress,GTX Basic,2017-07-28,,
Anna Snelling,Dustin Brinkmann,Central,Current,Globex Corporation,IF8PILJR,Anna Snelling,Won,MG Special,2017-07-27,2017-07-29,46
Anna Snelling,Dustin Brinkmann,Central,Current,Bioholding,SCR1IKLQ,Anna Snelling,Won,GTX Plus Pro,2017-07-27,2017-07-29,5068
Anna Snelling,Dustin Brinkmann,Central,Current,,YYU1J6E1,Anna Snelling,In Progress,MG Special,2017-07-27,,
Anna Snelling,Dustin Brinkmann,Central,Current,Golddex,1XJFMYCW,Anna Snelling,In Progress,MG Special,2017-07-27,,
Anna Snelling,Dustin Brinkmann,Central,Current,,1T5WFCEJ,Anna Snelling,In Progress,GTX Plus Pro,2017-07-27,,
Anna Snelling,Dustin Brinkmann,Central,Current,,N9GIC5PC,Anna Snelling,In Progress,GTX Plus Pro,2017-07-27,,
